Player,Rating,Year,Month,Source,Ranking,Last name,Champion,Champion status
Lajos Portisch,2719,1977,2,chessmetrics,8,Portisch,Karpov 1,Not champion
Efim Geller,2718,1977,2,chessmetrics,9,Geller,Karpov 1,Not champion
Ljubomir Ljubojevic,2716,1977,2,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2806,1977,1,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2763,1977,1,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Tigran Petrosian,2754,1977,1,chessmetrics,3,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2754,1977,1,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Henrique Mecking,2732,1977,1,chessmetrics,5,Mecking,Karpov 1,Not champion
Mikhail Tal,2731,1977,1,chessmetrics,6,Tal,Karpov 1,Not champion
Vlastimil Hort,2721,1977,1,chessmetrics,7,Hort,Karpov 1,Not champion
Lajos Portisch,2719,1977,1,chessmetrics,8,Portisch,Karpov 1,Not champion
Bent Larsen,2717,1977,1,chessmetrics,9,Larsen,Karpov 1,Not champion
Ljubomir Ljubojevic,2716,1977,1,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2789,1976,12,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2761,1976,12,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2748,1976,12,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2746,1976,12,chessmetrics,4,Petrosian,Karpov 1,Not champion
Mikhail Tal,2734,1976,12,chessmetrics,5,Tal,Karpov 1,Not champion
Henrique Mecking,2732,1976,12,chessmetrics,6,Mecking,Karpov 1,Not champion
Vitaly Tseshkovsky,2721,1976,12,chessmetrics,7,Tseshkovsky,Karpov 1,Not champion
Lajos Portisch,2718,1976,12,chessmetrics,8,Portisch,Karpov 1,Not champion
Vlastimil Hort,2716,1976,12,chessmetrics,9,Hort,Karpov 1,Not champion
Ljubomir Ljubojevic,2716,1976,12,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2796,1976,11,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2760,1976,11,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Tigran Petrosian,2747,1976,11,chessmetrics,3,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2744,1976,11,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Mikhail Tal,2733,1976,11,chessmetrics,5,Tal,Karpov 1,Not champion
Henrique Mecking,2731,1976,11,chessmetrics,6,Mecking,Karpov 1,Not champion
Vitaly Tseshkovsky,2721,1976,11,chessmetrics,7,Tseshkovsky,Karpov 1,Not champion
Lajos Portisch,2720,1976,11,chessmetrics,8,Portisch,Karpov 1,Not champion
Bent Larsen,2715,1976,11,chessmetrics,9,Larsen,Karpov 1,Not champion
Ljubomir Ljubojevic,2715,1976,11,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2797,1976,10,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2760,1976,10,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2745,1976,10,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2744,1976,10,chessmetrics,4,Petrosian,Karpov 1,Not champion
Mikhail Tal,2737,1976,10,chessmetrics,5,Tal,Karpov 1,Not champion
Henrique Mecking,2730,1976,10,chessmetrics,6,Mecking,Karpov 1,Not champion
Vitaly Tseshkovsky,2721,1976,10,chessmetrics,7,Tseshkovsky,Karpov 1,Not champion
Lajos Portisch,2718,1976,10,chessmetrics,8,Portisch,Karpov 1,Not champion
Vlastimil Hort,2715,1976,10,chessmetrics,9,Hort,Karpov 1,Not champion
Ljubomir Ljubojevic,2715,1976,10,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2796,1976,9,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2759,1976,9,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2744,1976,9,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2744,1976,9,chessmetrics,4,Petrosian,Karpov 1,Not champion
Mikhail Tal,2736,1976,9,chessmetrics,5,Tal,Karpov 1,Not champion
Henrique Mecking,2730,1976,9,chessmetrics,6,Mecking,Karpov 1,Not champion
Efim Geller,2725,1976,9,chessmetrics,7,Geller,Karpov 1,Not champion
Lajos Portisch,2719,1976,9,chessmetrics,8,Portisch,Karpov 1,Not champion
Vitaly Tseshkovsky,2718,1976,9,chessmetrics,9,Tseshkovsky,Karpov 1,Not champion
Vlastimil Hort,2714,1976,9,chessmetrics,10,Hort,Karpov 1,Not champion
Anatoly Karpov,2796,1976,8,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2758,1976,8,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1976,8,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2741,1976,8,chessmetrics,4,Petrosian,Karpov 1,Not champion
Mikhail Tal,2736,1976,8,chessmetrics,5,Tal,Karpov 1,Not champion
Henrique Mecking,2728,1976,8,chessmetrics,6,Mecking,Karpov 1,Not champion
Efim Geller,2726,1976,8,chessmetrics,7,Geller,Karpov 1,Not champion
Vitaly Tseshkovsky,2717,1976,8,chessmetrics,8,Tseshkovsky,Karpov 1,Not champion
Lajos Portisch,2715,1976,8,chessmetrics,9,Portisch,Karpov 1,Not champion
Vlastimil Hort,2714,1976,8,chessmetrics,10,Hort,Karpov 1,Not champion
Anatoly Karpov,2804,1976,7,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2763,1976,7,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2744,1976,7,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Henrique Mecking,2740,1976,7,chessmetrics,4,Mecking,Karpov 1,Not champion
Tigran Petrosian,2739,1976,7,chessmetrics,5,Petrosian,Karpov 1,Not champion
Efim Geller,2738,1976,7,chessmetrics,6,Geller,Karpov 1,Not champion
Mikhail Tal,2734,1976,7,chessmetrics,7,Tal,Karpov 1,Not champion
Boris Gulko,2719,1976,7,chessmetrics,8,Gulko,Karpov 1,Not champion
Rafael Vaganian,2714,1976,7,chessmetrics,9,Vaganian,Karpov 1,Not champion
Ljubomir Ljubojevic,2713,1976,7,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2808,1976,6,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2762,1976,6,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1976,6,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2741,1976,6,chessmetrics,4,Petrosian,Karpov 1,Not champion
Efim Geller,2740,1976,6,chessmetrics,5,Geller,Karpov 1,Not champion
Mikhail Tal,2738,1976,6,chessmetrics,6,Tal,Karpov 1,Not champion
Boris Spassky,2727,1976,6,chessmetrics,7,Spassky,Karpov 1,Not champion
Boris Gulko,2724,1976,6,chessmetrics,8,Gulko,Karpov 1,Not champion
Rafael Vaganian,2718,1976,6,chessmetrics,9,Vaganian,Karpov 1,Not champion
Ljubomir Ljubojevic,2716,1976,6,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2808,1976,5,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2763,1976,5,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2743,1976,5,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2743,1976,5,chessmetrics,4,Petrosian,Karpov 1,Not champion
Efim Geller,2741,1976,5,chessmetrics,5,Geller,Karpov 1,Not champion
Mikhail Tal,2739,1976,5,chessmetrics,6,Tal,Karpov 1,Not champion
