"","Ranking","Player","Rating","Year","Month"
"121",1,"Garry Kasparov",2817,2003,12
"122",2,"Viswanathan Anand",2777,2003,12
"123",3,"Vladimir Kramnik",2768,2003,12
"124",4,"Peter Svidler",2752,2003,12
"125",5,"Ruslan Ponomariov",2749,2003,12
"126",6,"Alexander Grischuk",2743,2003,12
"127",7,"Judit Polgar",2743,2003,12
"128",8,"Alexei Shirov",2742,2003,12
"129",9,"Michael Adams",2734,2003,12
"130",10,"Vassily Ivanchuk",2732,2003,12
"131",1,"Garry Kasparov",2820,2003,11
"132",2,"Viswanathan Anand",2777,2003,11
"133",3,"Vladimir Kramnik",2771,2003,11
"134",4,"Peter Svidler",2753,2003,11
"135",5,"Ruslan Ponomariov",2749,2003,11
"136",6,"Alexander Grischuk",2743,2003,11
"137",7,"Alexei Shirov",2743,2003,11
"138",8,"Judit Polgar",2742,2003,11
"139",9,"Michael Adams",2736,2003,11
"140",10,"Vassily Ivanchuk",2733,2003,11
"141",1,"Garry Kasparov",2823,2003,10
"142",2,"Viswanathan Anand",2779,2003,10
"143",3,"Vladimir Kramnik",2773,2003,10
"144",4,"Ruslan Ponomariov",2748,2003,10
"145",5,"Peter Svidler",2747,2003,10
"146",6,"Alexander Grischuk",2747,2003,10
"147",7,"Evgeny Bareev",2742,2003,10
"148",8,"Michael Adams",2739,2003,10
"149",9,"Judit Polgar",2738,2003,10
"150",10,"Alexei Shirov",2736,2003,10
"151",1,"Garry Kasparov",2818,2003,9
"152",2,"Viswanathan Anand",2776,2003,9
"153",3,"Vladimir Kramnik",2774,2003,9
"154",4,"Ruslan Ponomariov",2749,2003,9
"155",5,"Alexander Grischuk",2748,2003,9
"156",6,"Evgeny Bareev",2747,2003,9
"157",7,"Michael Adams",2742,2003,9
"158",8,"Alexei Shirov",2741,2003,9
"159",9,"Peter Svidler",2739,2003,9
"160",10,"Judit Polgar",2737,2003,9
"161",1,"Garry Kasparov",2823,2003,8
"162",2,"Vladimir Kramnik",2789,2003,8
"163",3,"Viswanathan Anand",2782,2003,8
"164",4,"Ruslan Ponomariov",2749,2003,8
"165",5,"Peter Leko",2748,2003,8
"166",6,"Alexander Grischuk",2745,2003,8
"167",7,"Evgeny Bareev",2744,2003,8
"168",8,"Alexei Shirov",2742,2003,8
"169",9,"Michael Adams",2742,2003,8
"170",10,"Veselin Topalov",2738,2003,8
"171",1,"Garry Kasparov",2824,2003,7
"172",2,"Viswanathan Anand",2788,2003,7
"173",3,"Vladimir Kramnik",2786,2003,7
"174",4,"Ruslan Ponomariov",2750,2003,7
"175",5,"Peter Leko",2748,2003,7
"176",6,"Evgeny Bareev",2745,2003,7
"177",7,"Alexander Grischuk",2744,2003,7
"178",8,"Alexei Shirov",2743,2003,7
"179",9,"Michael Adams",2741,2003,7
"180",10,"Veselin Topalov",2739,2003,7
"181",1,"Garry Kasparov",2828,2003,6
"182",2,"Viswanathan Anand",2791,2003,6
"183",3,"Vladimir Kramnik",2788,2003,6
"184",4,"Peter Leko",2753,2003,6
"185",5,"Alexander Grischuk",2749,2003,6
"186",6,"Veselin Topalov",2749,2003,6
"187",7,"Alexei Shirov",2742,2003,6
"188",8,"Ruslan Ponomariov",2742,2003,6
"189",9,"Peter Svidler",2740,2003,6
"190",10,"Michael Adams",2738,2003,6
"191",1,"Garry Kasparov",2830,2003,5
"192",2,"Vladimir Kramnik",2792,2003,5
"193",3,"Viswanathan Anand",2792,2003,5
"194",4,"Peter Leko",2754,2003,5
"195",5,"Veselin Topalov",2749,2003,5
"196",6,"Alexander Grischuk",2746,2003,5
"197",7,"Peter Svidler",2745,2003,5
"198",8,"Ruslan Ponomariov",2743,2003,5
"199",9,"Michael Adams",2741,2003,5
"200",10,"Evgeny Bareev",2740,2003,5
"201",1,"Garry Kasparov",2833,2003,4
"202",2,"Vladimir Kramnik",2796,2003,4
"203",3,"Viswanathan Anand",2792,2003,4
"204",4,"Peter Leko",2758,2003,4
"205",5,"Veselin Topalov",2750,2003,4
"206",6,"Ruslan Ponomariov",2743,2003,4
"207",7,"Michael Adams",2742,2003,4
"208",8,"Alexei Shirov",2742,2003,4
"209",9,"Peter Svidler",2741,2003,4
"210",10,"Evgeny Bareev",2741,2003,4
"211",1,"Garry Kasparov",2838,2003,3
"212",2,"Vladimir Kramnik",2805,2003,3
"213",3,"Viswanathan Anand",2797,2003,3
"214",4,"Peter Leko",2756,2003,3
"215",5,"Veselin Topalov",2751,2003,3
"216",6,"Alexei Shirov",2744,2003,3
"217",7,"Michael Adams",2742,2003,3
"218",8,"Evgeny Bareev",2741,2003,3
"219",9,"Peter Svidler",2739,2003,3
"220",10,"Ruslan Ponomariov",2736,2003,3
"221",1,"Garry Kasparov",2847,2003,2
"222",2,"Vladimir Kramnik",2800,2003,2
"223",3,"Viswanathan Anand",2793,2003,2
"224",4,"Peter Leko",2753,2003,2
"225",5,"Veselin Topalov",2751,2003,2
"226",6,"Michael Adams",2748,2003,2
"227",7,"Ruslan Ponomariov",2744,2003,2
"228",8,"Evgeny Bareev",2741,2003,2
"229",9,"Alexei Shirov",2738,2003,2
"230",10,"Peter Svidler",2733,2003,2
"231",1,"Garry Kasparov",2852,2003,1
"232",2,"Vladimir Kramnik",2816,2003,1
"233",3,"Viswanathan Anand",2787,2003,1
"234",4,"Veselin Topalov",2756,2003,1
"235",5,"Peter Leko",2754,2003,1
"236",6,"Michael Adams",2754,2003,1
"237",7,"Ruslan Ponomariov",2750,2003,1
"238",8,"Alexei Shirov",2739,2003,1
"239",9,"Evgeny Bareev",2735,2003,1
"240",10,"Peter Svidler",2730,2003,1
"241",1,"Garry Kasparov",2853,2002,12
"242",2,"Vladimir Kramnik",2816,2002,12
"243",3,"Viswanathan Anand",2777,2002,12
"244",4,"Veselin Topalov",2756,2002,12
"245",5,"Peter Leko",2755,2002,12
"246",6,"Michael Adams",2752,2002,12
"247",7,"Ruslan Ponomariov",2749,2002,12
